trialNb	groupNb	indexInGroup	cue	association	assoNb	timeToFirstKeypress	timeToSubmission	list	set	load	original_pattern	reproduced_pattern	correct	hits	misses	falseAlarms
1	1	1	opinie	NO_RESPONSE	1	-1	-1	0	0	HIGH_LOAD	0100100000011000	0000000000000000	0	0	4	0
1	1	1	opinie	NO_RESPONSE	2	-1	-1	0	0	HIGH_LOAD	0100100000011000	0000000000000000	0	0	4	0
1	1	1	opinie	NO_RESPONSE	3	-1	-1	0	0	HIGH_LOAD	0100100000011000	0000000000000000	0	0	4	0
2	1	2	dronken	NO_RESPONSE	1	-1	-1	0	0	HIGH_LOAD	0100100000011000	0000000000000000	0	0	4	0
2	1	2	dronken	NO_RESPONSE	2	-1	-1	0	0	HIGH_LOAD	0100100000011000	0000000000000000	0	0	4	0
2	1	2	dronken	NO_RESPONSE	3	-1	-1	0	0	HIGH_LOAD	0100100000011000	0000000000000000	0	0	4	0
3	1	3	wijze	NO_RESPONSE	1	-1	-1	0	0	HIGH_LOAD	0100100000011000	0000000000000000	0	0	4	0
3	1	3	wijze	NO_RESPONSE	2	-1	-1	0	0	HIGH_LOAD	0100100000011000	0000000000000000	0	0	4	0
3	1	3	wijze	NO_RESPONSE	3	-1	-1	0	0	HIGH_LOAD	0100100000011000	0000000000000000	0	0	4	0
4	1	4	gezwel	NO_RESPONSE	1	-1	-1	0	0	HIGH_LOAD	0100100000011000	0000000000000000	0	0	4	0
4	1	4	gezwel	NO_RESPONSE	2	-1	-1	0	0	HIGH_LOAD	0100100000011000	0000000000000000	0	0	4	0
4	1	4	gezwel	NO_RESPONSE	3	-1	-1	0	0	HIGH_LOAD	0100100000011000	0000000000000000	0	0	4	0
5	1	5	toe	NO_RESPONSE	1	-1	-1	0	0	HIGH_LOAD	0100100000011000	0000000000000000	0	0	4	0
5	1	5	toe	NO_RESPONSE	2	-1	-1	0	0	HIGH_LOAD	0100100000011000	0000000000000000	0	0	4	0
5	1	5	toe	NO_RESPONSE	3	-1	-1	0	0	HIGH_LOAD	0100100000011000	0000000000000000	0	0	4	0
6	2	1	bliksem	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
6	2	1	bliksem	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
6	2	1	bliksem	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
7	2	2	trots	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
7	2	2	trots	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
7	2	2	trots	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
8	2	3	reeds	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
8	2	3	reeds	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
8	2	3	reeds	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
9	2	4	knippen	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
9	2	4	knippen	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
9	2	4	knippen	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
10	2	5	kapot	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
10	2	5	kapot	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
10	2	5	kapot	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
11	3	1	antwoord	NO_RESPONSE	1	-1	-1	0	0	HIGH_LOAD	0010000100101000	0000000000000000	0	0	4	0
11	3	1	antwoord	NO_RESPONSE	2	-1	-1	0	0	HIGH_LOAD	0010000100101000	0000000000000000	0	0	4	0
11	3	1	antwoord	NO_RESPONSE	3	-1	-1	0	0	HIGH_LOAD	0010000100101000	0000000000000000	0	0	4	0
12	3	2	schaap	NO_RESPONSE	1	-1	-1	0	0	HIGH_LOAD	0010000100101000	0000000000000000	0	0	4	0
12	3	2	schaap	NO_RESPONSE	2	-1	-1	0	0	HIGH_LOAD	0010000100101000	0000000000000000	0	0	4	0
12	3	2	schaap	NO_RESPONSE	3	-1	-1	0	0	HIGH_LOAD	0010000100101000	0000000000000000	0	0	4	0
13	3	3	non	NO_RESPONSE	1	-1	-1	0	0	HIGH_LOAD	0010000100101000	0000000000000000	0	0	4	0
13	3	3	non	NO_RESPONSE	2	-1	-1	0	0	HIGH_LOAD	0010000100101000	0000000000000000	0	0	4	0
13	3	3	non	NO_RESPONSE	3	-1	-1	0	0	HIGH_LOAD	0010000100101000	0000000000000000	0	0	4	0
14	3	4	correct	NO_RESPONSE	1	-1	-1	0	0	HIGH_LOAD	0010000100101000	0000000000000000	0	0	4	0
14	3	4	correct	NO_RESPONSE	2	-1	-1	0	0	HIGH_LOAD	0010000100101000	0000000000000000	0	0	4	0
14	3	4	correct	NO_RESPONSE	3	-1	-1	0	0	HIGH_LOAD	0010000100101000	0000000000000000	0	0	4	0
15	3	5	jammer	NO_RESPONSE	1	-1	-1	0	0	HIGH_LOAD	0010000100101000	0000000000000000	0	0	4	0
15	3	5	jammer	NO_RESPONSE	2	-1	-1	0	0	HIGH_LOAD	0010000100101000	0000000000000000	0	0	4	0
15	3	5	jammer	NO_RESPONSE	3	-1	-1	0	0	HIGH_LOAD	0010000100101000	0000000000000000	0	0	4	0
16	4	1	rustig	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
16	4	1	rustig	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
16	4	1	rustig	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
17	4	2	anti	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
17	4	2	anti	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
17	4	2	anti	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
18	4	3	gek	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
18	4	3	gek	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
18	4	3	gek	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
19	4	4	huwelijk	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
19	4	4	huwelijk	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
19	4	4	huwelijk	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
20	4	5	verstaan	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
20	4	5	verstaan	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
20	4	5	verstaan	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	1000100010001000	0000000000000000	0	0	4	0
21	5	1	boven	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
21	5	1	boven	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
21	5	1	boven	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
22	5	2	ieder	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
22	5	2	ieder	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
22	5	2	ieder	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
23	5	3	lezen	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
23	5	3	lezen	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
23	5	3	lezen	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
24	5	4	kwaad	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
24	5	4	kwaad	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
24	5	4	kwaad	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
25	5	5	lang	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
25	5	5	lang	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
25	5	5	lang	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0000000000001111	0000000000000000	0	0	4	0
26	6	1	zenuwachtig	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
26	6	1	zenuwachtig	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
26	6	1	zenuwachtig	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
27	6	2	nonkel	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
27	6	2	nonkel	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
27	6	2	nonkel	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
28	6	3	slapen	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
28	6	3	slapen	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
28	6	3	slapen	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
29	6	4	normaal	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
29	6	4	normaal	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
29	6	4	normaal	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
30	6	5	krabben	NO_RESPONSE	1	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
30	6	5	krabben	NO_RESPONSE	2	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
30	6	5	krabben	NO_RESPONSE	3	-1	-1	0	0	LOW_LOAD	0100010001000100	0000000000000000	0	0	4	0
