trialNb	groupNb	indexInGroup	cue	association	assoNb	timeToFirstKeypress	timeToSubmission	list	set	load	original_pattern	reproduced_pattern	correct	hits	misses	falseAlarms
1	1	1	schaap	NO_RESPONSE	1	-1	-1	0	0	HIGH_LOAD	0001000010100100	0000000000000000	0	0	4	0
1	1	1	schaap	NO_RESPONSE	2	-1	-1	0	0	HIGH_LOAD	0001000010100100	0000000000000000	0	0	4	0
1	1	1	schaap	NO_RESPONSE	3	-1	-1	0	0	HIGH_LOAD	0001000010100100	0000000000000000	0	0	4	0
2	1	2	gezwel	NO_RESPONSE	1	-1	-1	0	0	HIGH_LOAD	0001000010100100	0000000000000000	0	0	4	0
2	1	2	gezwel	NO_RESPONSE	2	-1	-1	0	0	HIGH_LOAD	0001000010100100	0000000000000000	0	0	4	0
2	1	2	gezwel	NO_RESPONSE	3	-1	-1	0	0	HIGH_LOAD	0001000010100100	0000000000000000	0	0	4	0
3	1	3	opinie	NO_RESPONSE	1	-1	-1	0	0	HIGH_LOAD	0001000010100100	0000000000000000	0	0	4	0
3	1	3	opinie	NO_RESPONSE	2	-1	-1	0	0	HIGH_LOAD	0001000010100100	0000000000000000	0	0	4	0
3	1	3	opinie	NO_RESPONSE	3	-1	-1	0	0	HIGH_LOAD	0001000010100100	0000000000000000	0	0	4	0
4	1	4	non	NO_RESPONSE	1	-1	-1	0	0	HIGH_LOAD	0001000010100100	0000000000000000	0	0	4	0
4	1	4	non	NO_RESPONSE	2	-1	-1	0	0	HIGH_LOAD	0001000010100100	0000000000000000	0	0	4	0
4	1	4	non	NO_RESPONSE	3	-1	-1	0	0	HIGH_LOAD	0001000010100100	0000000000000000	0	0	4	0
5	1	5	wijze	NO_RESPONSE	1	-1	-1	0	0	HIGH_LOAD	0001000010100100	0000000000000000	0	0	4	0
5	1	5	wijze	NO_RESPONSE	2	-1	-1	0	0	HIGH_LOAD	0001000010100100	0000000000000000	0	0	4	0
5	1	5	wijze	NO_RESPONSE	3	-1	-1	0	0	HIGH_LOAD	0001000010100100	0000000000000000	0	0	4	0
